"","data e hora","media_coef","num_row","accurate","per_i","qtd_dias","f_mult_iqr"
"1"," 2024-01-09 06:43:15.071305 ","O desvio padrão não é um número finito.","5","1","4","2","3"
"2"," 2024-01-09 06:43:15.667429 ","O desvio padrão não é um número finito.","5","1","4","2","3"
"3"," 2024-01-09 06:43:16.275872 ","O desvio padrão não é um número finito.","5","1","4","2","3"
"4"," 2024-01-09 06:43:16.875324 ","O desvio padrão não é um número finito.","5","1","4","2","3"
"5"," 2024-01-09 06:43:17.473049 ","O desvio padrão não é um número finito.","5","1","4","2","3"
"6"," 2024-01-09 06:43:18.077619 ","O desvio padrão não é um número finito.","5","1","5","2","3"
"7"," 2024-01-09 06:43:18.847112 ","O desvio padrão não é um número finito.","5","1","5","2","3"
"8"," 2024-01-09 06:43:19.61627 ","O desvio padrão não é um número finito.","5","1","5","2","3"
"9"," 2024-01-09 06:43:20.498074 ","O desvio padrão não é um número finito.","5","1","5","2","3"
"10"," 2024-01-09 06:43:21.268124 ","O desvio padrão não é um número finito.","5","1","5","2","3"
"11"," 2024-01-09 06:43:22.038285 ","O desvio padrão não é um número finito.","5","1","6","2","3"
"12"," 2024-01-09 06:43:22.806427 ","O desvio padrão não é um número finito.","5","1","6","2","3"
"13"," 2024-01-09 06:43:23.566931 ","O desvio padrão não é um número finito.","5","1","6","2","3"
"14"," 2024-01-09 06:43:24.332789 ","O desvio padrão não é um número finito.","5","1","6","2","3"
"15"," 2024-01-09 06:43:25.097771 ","O desvio padrão não é um número finito.","5","1","6","2","3"
"16"," 2024-01-09 06:43:25.858972 ","O desvio padrão não é um número finito.","5","1","7","2","3"
"17"," 2024-01-09 06:43:26.638122 ","O desvio padrão não é um número finito.","5","1","7","2","3"
"18"," 2024-01-09 06:43:27.409012 ","O desvio padrão não é um número finito.","5","1","7","2","3"
"19"," 2024-01-09 06:43:28.193986 ","O desvio padrão não é um número finito.","5","1","7","2","3"
"20"," 2024-01-09 06:43:28.966081 ","O desvio padrão não é um número finito.","5","1","7","2","3"
"21"," 2024-01-09 06:54:36.736145 ","O desvio padrão não é um número finito.","5","1","4","3","3"
"22"," 2024-01-09 06:54:37.364118 ","O desvio padrão não é um número finito.","5","1","4","3","3"
"23"," 2024-01-09 06:54:38.066858 ","O desvio padrão não é um número finito.","5","1","4","3","3"
"24"," 2024-01-09 06:54:38.672636 ","O desvio padrão não é um número finito.","5","1","4","3","3"
"25"," 2024-01-09 06:54:39.269466 ","O desvio padrão não é um número finito.","5","1","4","3","3"
"26"," 2024-01-09 06:54:39.875691 ","O desvio padrão não é um número finito.","5","1","5","3","3"
"27"," 2024-01-09 06:54:40.643802 ","O desvio padrão não é um número finito.","5","1","5","3","3"
"28"," 2024-01-09 06:54:41.41325 ","O desvio padrão não é um número finito.","5","1","5","3","3"
"29"," 2024-01-09 06:54:42.187054 ","O desvio padrão não é um número finito.","5","1","5","3","3"
"30"," 2024-01-09 06:54:42.964304 ","O desvio padrão não é um número finito.","5","1","5","3","3"
"31"," 2024-01-09 06:54:43.755349 ","O desvio padrão não é um número finito.","5","1","6","3","3"
"32"," 2024-01-09 06:54:44.520162 ","O desvio padrão não é um número finito.","5","1","6","3","3"
"33"," 2024-01-09 06:54:45.283315 ","O desvio padrão não é um número finito.","5","1","6","3","3"
"34"," 2024-01-09 06:54:46.056075 ","O desvio padrão não é um número finito.","5","1","6","3","3"
"35"," 2024-01-09 06:54:46.818357 ","O desvio padrão não é um número finito.","5","1","6","3","3"
"36"," 2024-01-09 06:54:47.580972 ","O desvio padrão não é um número finito.","5","1","7","3","3"
"37"," 2024-01-09 06:54:48.355066 ","O desvio padrão não é um número finito.","5","1","7","3","3"
"38"," 2024-01-09 06:54:49.135473 ","O desvio padrão não é um número finito.","5","1","7","3","3"
"39"," 2024-01-09 06:54:50.01425 ","O desvio padrão não é um número finito.","5","1","7","3","3"
"40"," 2024-01-09 06:54:50.79222 ","O desvio padrão não é um número finito.","5","1","7","3","3"
"41"," 2024-01-09 07:05:54.463842 ","O desvio padrão não é um número finito.","5","1","4","4","3"
"42"," 2024-01-09 07:05:55.067097 ","O desvio padrão não é um número finito.","5","1","4","4","3"
"43"," 2024-01-09 07:05:55.663632 ","O desvio padrão não é um número finito.","5","1","4","4","3"
"44"," 2024-01-09 07:05:56.269642 ","O desvio padrão não é um número finito.","5","1","4","4","3"
