"","data e hora","media_coef","per_i","qtd_dias","fator_multiplicatovo"
"1"," 2024-02-07_11-52-46 ","0.110526080139059","4","1","3"
"2"," 2024-02-07_11-52-49 ","0.127234151189718","5","1","3"
"3"," 2024-02-07_11-52-52 ","0.111580424625058","6","1","3"
"4"," 2024-02-07_11-52-55 ","O desvio padrão da coluna objetivo é igual a zero.","7","1","3"
"5"," 2024-02-07_12-05-01 ","0.172996363485703","4","2","3"
"6"," 2024-02-07_12-05-04 ","0.176087781617329","5","2","3"
"7"," 2024-02-07_12-05-07 ","0.106394544094404","6","2","3"
"8"," 2024-02-07_12-05-10 ","0.0965502277378857","7","2","3"
"9"," 2024-02-07_12-17-01 ","0.187178215083925","4","3","3"
"10"," 2024-02-07_12-17-04 ","0.112969260872265","5","3","3"
"11"," 2024-02-07_12-17-07 ","0.165422285087147","6","3","3"
"12"," 2024-02-07_12-17-10 ","0.137180373911255","7","3","3"
"13"," 2024-02-07_12-28-54 ","0.189259971446591","4","4","3"
"14"," 2024-02-07_12-28-56 ","0.0994776304048824","5","4","3"
"15"," 2024-02-07_12-28-59 ","0.129899594093774","6","4","3"
"16"," 2024-02-07_12-29-02 ","0.145474380267506","7","4","3"
"17"," 2024-02-07_12-40-46 ","0.194927563250557","4","5","3"
"18"," 2024-02-07_12-40-48 ","0.113896446522739","5","5","3"
"19"," 2024-02-07_12-40-52 ","0.109269056883124","6","5","3"
"20"," 2024-02-07_12-40-55 ","0.16155572547204","7","5","3"
"21"," 2024-02-07_12-52-38 ","0.20988387139801","4","6","3"
"22"," 2024-02-07_12-52-40 ","0.0913994957435788","5","6","3"
"23"," 2024-02-07_12-52-43 ","0.102144419222817","6","6","3"
"24"," 2024-02-07_12-52-47 ","0.173761868889459","7","6","3"
"25"," 2024-02-07_13-04-31 ","0.203320783568148","4","7","3"
"26"," 2024-02-07_13-04-33 ","0.063196270868518","5","7","3"
"27"," 2024-02-07_13-04-36 ","0.169029788455001","6","7","3"
"28"," 2024-02-07_13-04-40 ","0.124197863884478","7","7","3"
"29"," 2024-02-07_13-16-24 ","0.238500507152528","4","8","3"
"30"," 2024-02-07_13-16-27 ","0.0419649444489091","5","8","3"
"31"," 2024-02-07_13-16-30 ","0.159705785801639","6","8","3"
"32"," 2024-02-07_13-16-33 ","0.119182776413806","7","8","3"
"33"," 2024-02-07_13-28-18 ","0.222062864067768","4","9","3"
"34"," 2024-02-07_13-28-20 ","0.0401000896615974","5","9","3"
"35"," 2024-02-07_13-28-24 ","0.162840368438784","6","9","3"
"36"," 2024-02-07_13-28-27 ","0.139449215758615","7","9","3"
"37"," 2024-02-07_13-40-19 ","0.219028916982243","4","10","3"
"38"," 2024-02-07_13-40-22 ","0.0795030065289055","5","10","3"
"39"," 2024-02-07_13-40-25 ","0.166853118028404","6","10","3"
"40"," 2024-02-07_13-40-29 ","0.130889188044162","7","10","3"
"41"," 2024-02-07_13-52-23 ","0.228057558000196","4","11","3"
"42"," 2024-02-07_13-52-26 ","0.0792688886712519","5","11","3"
"43"," 2024-02-07_13-52-29 ","0.183688733589133","6","11","3"
"44"," 2024-02-07_13-52-32 ","0.130197783032234","7","11","3"
"45"," 2024-02-07_14-04-08 ","0.226102204290606","4","12","3"
"46"," 2024-02-07_14-04-10 ","0.0864016794069624","5","12","3"
"47"," 2024-02-07_14-04-14 ","0.180079399246298","6","12","3"
"48"," 2024-02-07_14-04-17 ","0.169447562361247","7","12","3"
"49"," 2024-02-07_14-16-08 ","0.253184024388024","4","13","3"
"50"," 2024-02-07_14-16-10 ","0.0917684847236962","5","13","3"
"51"," 2024-02-07_14-16-14 ","0.176137303520464","6","13","3"
"52"," 2024-02-07_14-16-17 ","0.155004911628747","7","13","3"
"53"," 2024-02-07_14-28-16 ","0.274413160934613","4","14","3"
"54"," 2024-02-07_14-28-19 ","0.0597369787570248","5","14","3"
"55"," 2024-02-07_14-28-22 ","0.179894546253213","6","14","3"
"56"," 2024-02-07_14-28-25 ","0.175036795205773","7","14","3"
"57"," 2024-02-07_14-40-29 ","0.276356082695052","4","15","3"
"58"," 2024-02-07_14-40-32 ","0.0673294635936675","5","15","3"
"59"," 2024-02-07_14-40-35 ","0.178063999548277","6","15","3"
"60"," 2024-02-07_14-40-38 ","0.170893856097951","7","15","3"
