data e hora	media_coef	num_row	accurate	per_i	qtd_dias
 2023-11-10 22:43:17.584327 	0.240692988	10	1	4	1
 2023-11-10 22:49:52.948473 	0.237063372	10	1	4	1
 2023-11-10 22:55:00.535023 	0.241527132	10	1	4	1
 2023-11-10 23:01:28.04072 	0.240233504	10	1	4	1
 2023-11-10 23:07:32.969579 	0.241385975	10	1	4	1
 2023-11-10 23:12:57.333968 	0.222627861	10	1	5	1
 2023-11-10 23:18:46.181198 	0.227334552	10	1	5	1
 2023-11-10 23:25:31.639117 	0.222755526	10	1	5	1
 2023-11-10 23:30:27.122514 	0.224221823	10	1	5	1
 2023-11-10 23:36:19.549334 	0.224175146	10	1	5	1
 2023-11-10 23:42:12.114068 	0.195331211	10	1	6	1
 2023-11-10 23:47:45.638186 	0.197342344	10	1	6	1
 2023-11-10 23:52:02.115418 	0.196344057	10	1	6	1
 2023-11-10 23:56:55.206658 	0.191625905	10	1	6	1
 2023-11-11 00:01:42.714781 	0.194033711	10	1	6	1
 2023-11-11 00:06:12.877923 	0.282899359	10	1	7	1
 2023-11-11 00:11:47.026008 	0.280553703	10	1	7	1
 2023-11-11 00:16:07.681118 	0.275521201	10	1	7	1
 2023-11-11 00:21:07.195763 	0.273895872	10	1	7	1
 2023-11-11 00:24:52.181863 	0.275815423	10	1	7	1
 2023-11-11 00:35:43.650831 	0.205991086	10	1	4	2
 2023-11-11 00:40:24.626999 	0.206843892	10	1	4	2
 2023-11-11 00:45:15.666617 	0.207907659	10	1	4	2
 2023-11-11 00:50:02.305099 	0.207152047	10	1	4	2
 2023-11-11 00:54:44.887127 	0.206340678	10	1	4	2
 2023-11-11 00:58:44.138411 	0.214359743	10	1	5	2
 2023-11-11 01:04:13.002206 	0.214083974	10	1	5	2
 2023-11-11 01:10:32.893878 	0.213145128	10	1	5	2
 2023-11-11 01:16:26.160865 	0.216156232	10	1	5	2
 2023-11-11 01:22:35.176898 	0.214234044	10	1	5	2
 2023-11-11 01:27:59.312274 	0.195818117	10	1	6	2
 2023-11-11 01:32:41.788949 	0.199899003	10	1	6	2
 2023-11-11 01:36:55.190913 	0.203508756	10	1	6	2
 2023-11-11 01:43:57.883711 	0.198249867	10	1	6	2
 2023-11-11 01:48:15.021107 	0.201050179	10	1	6	2
 2023-11-11 01:53:26.009482 	0.288267549	10	1	7	2
 2023-11-11 01:56:59.774315 	0.294561915	10	1	7	2
 2023-11-11 02:00:45.834175 	0.285345448	10	1	7	2
 2023-11-11 02:03:41.348516 	0.290926731	10	1	7	2
 2023-11-11 02:06:25.664614 	0.287020286	10	1	7	2
 2023-11-11 02:17:16.344447 	0.220136896	10	1	4	3
 2023-11-11 02:20:36.068873 	0.220448931	10	1	4	3
 2023-11-11 02:24:56.855783 	0.220358979	10	1	4	3
 2023-11-11 02:28:50.248056 	0.213776871	10	1	4	3
 2023-11-11 02:32:02.006134 	0.220987726	10	1	4	3
 2023-11-11 02:35:07.852276 	0.200177351	10	1	5	3
 2023-11-11 02:41:12.789614 	0.200851578	10	1	5	3
 2023-11-11 02:47:19.208086 	0.201182244	10	1	5	3
 2023-11-11 02:53:44.193392 	0.201835728	10	1	5	3
 2023-11-11 02:59:35.927418 	0.203518494	10	1	5	3
 2023-11-11 03:07:16.037566 	0.184753775	10	1	6	3
 2023-11-11 03:12:37.99132 	0.178684291	10	1	6	3
 2023-11-11 03:17:25.064389 	0.184486498	10	1	6	3
 2023-11-11 03:22:48.32475 	0.17883764	10	1	6	3
 2023-11-11 03:26:38.665434 	0.185591851	10	1	6	3
 2023-11-11 03:31:09.318684 	0.313043723	10	1	7	3
 2023-11-11 03:34:37.929647 	0.316933763	10	1	7	3
 2023-11-11 03:38:39.959439 	0.316331175	10	1	7	3
 2023-11-11 03:42:59.015666 	0.31709681	10	1	7	3
 2023-11-11 03:46:25.605922 	0.313868887	10	1	7	3
 2023-11-11 03:57:30.535037 	0.227751202	10	1	4	4
 2023-11-11 04:00:19.884093 	0.226384702	10	1	4	4
